Time,Type,Epoch,Step,Loss,Average_accuracy,R_Ankle,R_Knee,R_Hip,L_Hip,L_Knee,L_Ankle,Pelvis,Thorax,Upper_neck,Head_top,R_Wrist,R_Elbow,R_Shoulder,L_Shoulder,L_Elbow,L_Wrist
17:29:28_18.05.2019,train,[29/20],[5/6],0.00081682,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17:29:41_18.05.2019,valid,[29/20],[0/6],0.00059165,0.0469,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.125,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.000
17:54:34_18.05.2019,train,[31/20],[0/6],0.00060023,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000
17:54:59_18.05.2019,train,[31/20],[1/6],0.00056385,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000
17:55:25_18.05.2019,train,[31/20],[2/6],0.00067338,0.0469,0.000,0.000,0.125,0.000,0.125,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125
17:55:51_18.05.2019,train,[31/20],[3/6],0.00071018,0.0234,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000
17:56:16_18.05.2019,train,[31/20],[4/6],0.00064626,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000
17:56:34_18.05.2019,train,[31/20],[5/6],0.00059419,0.0312,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17:56:46_18.05.2019,valid,[31/20],[0/6],0.00059353,0.0469,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.125,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.000
17:56:57_18.05.2019,train,[32/20],[0/6],0.00075163,0.0312,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000
17:57:23_18.05.2019,train,[32/20],[1/6],0.00062111,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000
17:57:50_18.05.2019,train,[32/20],[2/6],0.00062578,0.0312,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000
17:58:15_18.05.2019,train,[32/20],[3/6],0.00052495,0.0234,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000
17:58:38_18.05.2019,train,[32/20],[4/6],0.00064891,0.0156,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17:58:54_18.05.2019,train,[32/20],[5/6],0.00063753,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17:59:06_18.05.2019,valid,[32/20],[0/6],0.00058881,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.125
17:59:17_18.05.2019,train,[33/20],[0/6],0.00056332,0.0312,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.125,0.000,0.000
17:59:45_18.05.2019,train,[33/20],[1/6],0.00063959,0.0234,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000
18:01:22_18.05.2019,train,[1/100],[0/6],0.03565001,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000
18:01:49_18.05.2019,train,[1/100],[1/6],0.02797120,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000
18:02:15_18.05.2019,train,[1/100],[2/6],0.03020932,0.0312,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125
18:02:39_18.05.2019,train,[1/100],[3/6],0.02306294,0.0312,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000
18:03:07_18.05.2019,train,[1/100],[4/6],0.01854677,0.0234,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000
18:03:25_18.05.2019,train,[1/100],[5/6],0.01994715,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:03:39_18.05.2019,valid,[1/100],[0/6],0.03093049,0.0000,0.000,-1.000,0.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,0.000,-1.000
18:03:51_18.05.2019,train,[2/100],[0/6],0.01348595,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000
18:04:18_18.05.2019,train,[2/100],[1/6],0.01726744,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.250
18:04:48_18.05.2019,train,[2/100],[2/6],0.01267080,0.0391,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000
18:05:15_18.05.2019,train,[2/100],[3/6],0.01898110,0.0234,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000
18:05:42_18.05.2019,train,[2/100],[4/6],0.01466651,0.0391,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.125,0.000,0.125
18:06:00_18.05.2019,train,[2/100],[5/6],0.01302955,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:06:13_18.05.2019,valid,[2/100],[0/6],0.02622157,0.0000,0.000,-1.000,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,0.000,-1.000,0.000,0.000,0.000,0.000,-1.000
18:06:24_18.05.2019,train,[3/100],[0/6],0.01255849,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000
18:06:50_18.05.2019,train,[3/100],[1/6],0.01197445,0.0312,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000
18:07:16_18.05.2019,train,[3/100],[2/6],0.01208224,0.0469,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.125,0.000,0.125,0.000
18:07:43_18.05.2019,train,[3/100],[3/6],0.00912265,0.0312,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000
18:08:09_18.05.2019,train,[3/100],[4/6],0.00839564,0.0469,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.250,0.125,0.000
18:08:25_18.05.2019,train,[3/100],[5/6],0.00777392,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000
18:08:38_18.05.2019,valid,[3/100],[0/6],0.01677961,0.0000,0.000,-1.000,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,0.000,-1.000,0.000,0.000,0.000,0.000,-1.000
18:08:50_18.05.2019,train,[4/100],[0/6],0.01012141,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:09:15_18.05.2019,train,[4/100],[1/6],0.00725471,0.0156,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000
18:09:40_18.05.2019,train,[4/100],[2/6],0.00643938,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000
18:10:04_18.05.2019,train,[4/100],[3/6],0.00641983,0.0469,0.000,0.125,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.250
18:10:29_18.05.2019,train,[4/100],[4/6],0.00665206,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:10:47_18.05.2019,train,[4/100],[5/6],0.00989838,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000
18:11:01_18.05.2019,valid,[4/100],[0/6],0.00946194,0.0000,0.000,0.000,-1.000,0.000,-1.000,0.000,-1.000,-1.000,0.000,0.000,-1.000,0.000,0.000,0.000,0.000,-1.000
18:11:12_18.05.2019,train,[5/100],[0/6],0.00574428,0.0312,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000
18:11:37_18.05.2019,train,[5/100],[1/6],0.00551223,0.0078,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:12:04_18.05.2019,train,[5/100],[2/6],0.00512115,0.0312,0.000,0.125,0.125,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:12:30_18.05.2019,train,[5/100],[3/6],0.00465093,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.250,0.000,0.000,0.000,0.000,0.000
18:12:55_18.05.2019,train,[5/100],[4/6],0.00491969,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000
18:13:11_18.05.2019,train,[5/100],[5/6],0.00656749,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:13:24_18.05.2019,valid,[5/100],[0/6],0.00476753,0.0125,0.000,0.000,-1.000,0.000,-1.000,0.000,-1.000,-1.000,0.125,0.000,-1.000,0.000,0.000,0.000,0.000,-1.000
18:13:34_18.05.2019,train,[6/100],[0/6],0.00453378,0.0156,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000
18:13:57_18.05.2019,train,[6/100],[1/6],0.00464403,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000
18:14:21_18.05.2019,train,[6/100],[2/6],0.00414140,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:14:45_18.05.2019,train,[6/100],[3/6],0.00369510,0.0156,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000
18:15:10_18.05.2019,train,[6/100],[4/6],0.00345653,0.0156,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000
18:15:26_18.05.2019,train,[6/100],[5/6],0.00146210,0.0625,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000
18:15:37_18.05.2019,valid,[6/100],[0/6],0.00258121,0.0312,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000
