Time,Type,Epoch,Step,Loss,Average_accuracy,R_Ankle,R_Knee,R_Hip,L_Hip,L_Knee,L_Ankle,Pelvis,Thorax,Upper_neck,Head_top,R_Wrist,R_Elbow,R_Shoulder,L_Shoulder,L_Elbow,L_Wrist
19:06:51_18.05.2019,train,[29/100],[1/6],0.00094778,0.0703,0.000,0.250,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.250,0.250,0.000,0.125
19:07:18_18.05.2019,train,[29/100],[2/6],0.00093764,0.0234,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000
19:07:43_18.05.2019,train,[29/100],[3/6],0.00074037,0.0156,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000
19:08:08_18.05.2019,train,[29/100],[4/6],0.00079674,0.0234,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125
19:08:26_18.05.2019,train,[29/100],[5/6],0.00093971,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:08:39_18.05.2019,valid,[29/100],[0/6],0.00079265,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000
19:08:51_18.05.2019,train,[30/100],[0/6],0.00069380,0.0234,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000
19:09:16_18.05.2019,train,[30/100],[1/6],0.00093767,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.125
19:09:43_18.05.2019,train,[30/100],[2/6],0.00089251,0.0156,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000
19:10:09_18.05.2019,train,[30/100],[3/6],0.00089934,0.0312,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.125,0.000
19:10:36_18.05.2019,train,[30/100],[4/6],0.00077616,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000
19:10:54_18.05.2019,train,[30/100],[5/6],0.00143840,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000
19:11:07_18.05.2019,valid,[30/100],[0/6],0.00079442,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000
19:11:18_18.05.2019,train,[31/100],[0/6],0.00096551,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:11:44_18.05.2019,train,[31/100],[1/6],0.00075680,0.0234,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000
19:12:10_18.05.2019,train,[31/100],[2/6],0.00087625,0.0547,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.250,0.000,0.125,0.000,0.000,0.125,0.000,0.125,0.000
19:12:39_18.05.2019,train,[31/100],[3/6],0.00084045,0.0078,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:13:07_18.05.2019,train,[31/100],[4/6],0.00089938,0.0391,0.125,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000
19:13:26_18.05.2019,train,[31/100],[5/6],0.00077559,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:13:39_18.05.2019,valid,[31/100],[0/6],0.00076898,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.000
19:13:49_18.05.2019,train,[32/100],[0/6],0.00076895,0.0156,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000
19:14:14_18.05.2019,train,[32/100],[1/6],0.00089783,0.0391,0.000,0.000,0.000,0.000,0.000,0.250,0.125,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000
19:14:40_18.05.2019,train,[32/100],[2/6],0.00077415,0.0391,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.250
19:15:08_18.05.2019,train,[32/100],[3/6],0.00082652,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000
19:15:35_18.05.2019,train,[32/100],[4/6],0.00084029,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:15:52_18.05.2019,train,[32/100],[5/6],0.00122118,0.0312,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:16:04_18.05.2019,valid,[32/100],[0/6],0.00076094,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.000
19:16:16_18.05.2019,train,[33/100],[0/6],0.00081262,0.0391,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.125,0.000
19:17:30_18.05.2019,train,[33/100],[0/6],0.00082994,0.0312,0.000,0.125,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125
19:17:56_18.05.2019,train,[33/100],[1/6],0.00082396,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:18:22_18.05.2019,train,[33/100],[2/6],0.00076494,0.0156,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:18:47_18.05.2019,train,[33/100],[3/6],0.00093860,0.0234,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000
19:19:13_18.05.2019,train,[33/100],[4/6],0.00079684,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125
19:19:31_18.05.2019,train,[33/100],[5/6],0.00058868,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:19:42_18.05.2019,valid,[33/100],[0/6],0.00075024,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.000
19:19:54_18.05.2019,train,[34/100],[0/6],0.00092640,0.0234,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000
19:20:19_18.05.2019,train,[34/100],[1/6],0.00083700,0.0234,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:20:44_18.05.2019,train,[34/100],[2/6],0.00085273,0.0391,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.125,0.000,0.000,0.000,0.000,0.125
19:21:13_18.05.2019,train,[34/100],[3/6],0.00074716,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:21:37_18.05.2019,train,[34/100],[4/6],0.00078715,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125
19:21:53_18.05.2019,train,[34/100],[5/6],0.00072138,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:22:06_18.05.2019,valid,[34/100],[0/6],0.00074935,0.0312,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.000
19:22:18_18.05.2019,train,[35/100],[0/6],0.00085638,0.0312,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.250,0.000
19:22:45_18.05.2019,train,[35/100],[1/6],0.00074714,0.0312,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000
19:23:09_18.05.2019,train,[35/100],[2/6],0.00087755,0.0078,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:23:35_18.05.2019,train,[35/100],[3/6],0.00077982,0.0391,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.125,0.000,0.000
19:24:02_18.05.2019,train,[35/100],[4/6],0.00077289,0.0469,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.125,0.125,0.000,0.125,0.000,0.125,0.000,0.000,0.000
19:24:22_18.05.2019,train,[35/100],[5/6],0.00082045,0.0312,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:24:35_18.05.2019,valid,[35/100],[0/6],0.00073527,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.000
19:24:45_18.05.2019,train,[36/100],[0/6],0.00079828,0.0391,0.000,0.000,0.000,0.000,0.125,0.125,0.250,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:25:11_18.05.2019,train,[36/100],[1/6],0.00084709,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:25:38_18.05.2019,train,[36/100],[2/6],0.00073462,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:26:07_18.05.2019,train,[36/100],[3/6],0.00081286,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000
19:26:35_18.05.2019,train,[36/100],[4/6],0.00077053,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:26:52_18.05.2019,train,[36/100],[5/6],0.00090398,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:27:05_18.05.2019,valid,[36/100],[0/6],0.00071489,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.000
19:27:17_18.05.2019,train,[37/100],[0/6],0.00075986,0.0312,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000
19:27:45_18.05.2019,train,[37/100],[1/6],0.00083474,0.0391,0.125,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125
19:28:09_18.05.2019,train,[37/100],[2/6],0.00086702,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:28:36_18.05.2019,train,[37/100],[3/6],0.00071809,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000
19:29:02_18.05.2019,train,[37/100],[4/6],0.00079972,0.0234,0.000,0.000,0.000,0.250,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:29:18_18.05.2019,train,[37/100],[5/6],0.00073186,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:29:31_18.05.2019,valid,[37/100],[0/6],0.00070998,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000
19:29:42_18.05.2019,train,[38/100],[0/6],0.00083042,0.0391,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.125,0.000,0.000,0.000
19:30:10_18.05.2019,train,[38/100],[1/6],0.00081379,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000
19:30:37_18.05.2019,train,[38/100],[2/6],0.00075031,0.0078,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:31:02_18.05.2019,train,[38/100],[3/6],0.00085849,0.0391,0.125,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000
19:31:28_18.05.2019,train,[38/100],[4/6],0.00064041,0.0625,0.000,0.250,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.375,0.125,0.000,0.000
19:31:48_18.05.2019,train,[38/100],[5/6],0.00078732,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:32:00_18.05.2019,valid,[38/100],[0/6],0.00071174,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.000
19:32:12_18.05.2019,train,[39/100],[0/6],0.00083720,0.0234,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125
19:32:38_18.05.2019,train,[39/100],[1/6],0.00077615,0.0391,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.250,0.000,0.125,0.125
19:33:03_18.05.2019,train,[39/100],[2/6],0.00079326,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000
19:33:29_18.05.2019,train,[39/100],[3/6],0.00067644,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:33:56_18.05.2019,train,[39/100],[4/6],0.00076363,0.0312,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.125
19:34:12_18.05.2019,train,[39/100],[5/6],0.00059658,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:34:24_18.05.2019,valid,[39/100],[0/6],0.00071594,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000
19:34:35_18.05.2019,train,[40/100],[0/6],0.00072485,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.125,0.000,0.125,0.000,0.000,0.000
19:34:59_18.05.2019,train,[40/100],[1/6],0.00072966,0.0781,0.125,0.000,0.125,0.125,0.000,0.000,0.250,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.125,0.250
19:35:23_18.05.2019,train,[40/100],[2/6],0.00083191,0.0078,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:35:48_18.05.2019,train,[40/100],[3/6],0.00083708,0.0312,0.125,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000
19:36:13_18.05.2019,train,[40/100],[4/6],0.00066633,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000
19:36:28_18.05.2019,train,[40/100],[5/6],0.00092548,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:36:38_18.05.2019,valid,[40/100],[0/6],0.00071286,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000
19:36:49_18.05.2019,train,[41/100],[0/6],0.00086529,0.0156,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000
19:37:12_18.05.2019,train,[41/100],[1/6],0.00064253,0.0156,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:37:37_18.05.2019,train,[41/100],[2/6],0.00074455,0.0234,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
19:38:05_18.05.2019,train,[41/100],[3/6],0.00068324,0.0156,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000
19:38:32_18.05.2019,train,[41/100],[4/6],0.00084422,0.0391,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.125,0.000,0.125
19:38:50_18.05.2019,train,[41/100],[5/6],0.00092645,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:39:03_18.05.2019,valid,[41/100],[0/6],0.00070951,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.000
19:39:15_18.05.2019,train,[42/100],[0/6],0.00073685,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:39:43_18.05.2019,train,[42/100],[1/6],0.00075586,0.0312,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.125,0.000,0.000
19:40:08_18.05.2019,train,[42/100],[2/6],0.00087055,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000
19:40:33_18.05.2019,train,[42/100],[3/6],0.00074077,0.0469,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.250,0.000,0.125,0.125
19:41:00_18.05.2019,train,[42/100],[4/6],0.00063401,0.0312,0.125,0.125,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:41:19_18.05.2019,train,[42/100],[5/6],0.00095497,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000
19:41:31_18.05.2019,valid,[42/100],[0/6],0.00069603,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000
19:41:41_18.05.2019,train,[43/100],[0/6],0.00074338,0.0391,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.250
19:42:06_18.05.2019,train,[43/100],[1/6],0.00076655,0.0234,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000
19:42:30_18.05.2019,train,[43/100],[2/6],0.00074921,0.0312,0.000,0.125,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000
19:42:53_18.05.2019,train,[43/100],[3/6],0.00069637,0.0234,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000
19:43:18_18.05.2019,train,[43/100],[4/6],0.00082070,0.0391,0.000,0.000,0.000,0.250,0.125,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000
19:43:35_18.05.2019,train,[43/100],[5/6],0.00064433,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500
19:43:47_18.05.2019,valid,[43/100],[0/6],0.00069083,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000
19:43:58_18.05.2019,train,[44/100],[0/6],0.00069037,0.0469,0.125,0.375,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000
19:44:21_18.05.2019,train,[44/100],[1/6],0.00067968,0.0234,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000
19:44:45_18.05.2019,train,[44/100],[2/6],0.00079484,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:45:08_18.05.2019,train,[44/100],[3/6],0.00077244,0.0078,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:45:33_18.05.2019,train,[44/100],[4/6],0.00076331,0.0312,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000
19:45:48_18.05.2019,train,[44/100],[5/6],0.00059054,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:46:01_18.05.2019,valid,[44/100],[0/6],0.00068427,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000
19:46:12_18.05.2019,train,[45/100],[0/6],0.00075124,0.0547,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.125,0.000,0.000,0.125,0.125,0.125,0.000,0.125
19:46:35_18.05.2019,train,[45/100],[1/6],0.00087085,0.0547,0.125,0.250,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.250,0.000,0.125,0.000,0.000
19:46:59_18.05.2019,train,[45/100],[2/6],0.00060808,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000
19:47:24_18.05.2019,train,[45/100],[3/6],0.00073837,0.0625,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.250,0.000,0.125,0.125,0.000,0.000,0.125,0.000,0.125
19:47:47_18.05.2019,train,[45/100],[4/6],0.00067650,0.0391,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.125
19:48:03_18.05.2019,train,[45/100],[5/6],0.00069459,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:48:15_18.05.2019,valid,[45/100],[0/6],0.00068295,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000
19:48:25_18.05.2019,train,[46/100],[0/6],0.00061911,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:48:48_18.05.2019,train,[46/100],[1/6],0.00080048,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000
19:49:11_18.05.2019,train,[46/100],[2/6],0.00081467,0.0234,0.000,0.125,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:49:35_18.05.2019,train,[46/100],[3/6],0.00073600,0.0156,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000
19:49:58_18.05.2019,train,[46/100],[4/6],0.00071874,0.0391,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.125
19:50:14_18.05.2019,train,[46/100],[5/6],0.00053952,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:50:26_18.05.2019,valid,[46/100],[0/6],0.00066879,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000
19:50:35_18.05.2019,train,[47/100],[0/6],0.00061008,0.0469,0.000,0.125,0.000,0.000,0.125,0.125,0.125,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000
19:50:59_18.05.2019,train,[47/100],[1/6],0.00073754,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.250
19:51:22_18.05.2019,train,[47/100],[2/6],0.00067321,0.0312,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:51:46_18.05.2019,train,[47/100],[3/6],0.00075354,0.0547,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.250,0.000,0.000,0.125,0.125
19:52:12_18.05.2019,train,[47/100],[4/6],0.00083673,0.0391,0.250,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125
19:52:27_18.05.2019,train,[47/100],[5/6],0.00089899,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:52:38_18.05.2019,valid,[47/100],[0/6],0.00067295,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000
19:52:48_18.05.2019,train,[48/100],[0/6],0.00069719,0.0234,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000
19:53:10_18.05.2019,train,[48/100],[1/6],0.00055673,0.0156,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125
19:53:33_18.05.2019,train,[48/100],[2/6],0.00071423,0.0312,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.250,0.000,0.000,0.000,0.000
19:53:58_18.05.2019,train,[48/100],[3/6],0.00083888,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.125,0.000,0.000
19:54:22_18.05.2019,train,[48/100],[4/6],0.00085434,0.0391,0.000,0.000,0.000,0.125,0.250,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000
